# production-callers.tsv — the KNOWN population of `pub fn`s with no production caller.
# Written by scripts/check-production-callers.py --bless. See that file's header for what
# UNCALLED and THEATRE mean, for what this census cannot see, and for the row KEY.
#
# A row is keyed on (kind, name, definition_file) — the LINE column is informational and
# is not part of the key. The check goes red BOTH ways: a guard with no row is FRESH, a
# row with no guard is STALE (it acquired a caller, or was deleted/renamed/moved).
#
# kind	name	definition_file	definition_line	test_call_sites
THEATRE	assemble_verified	fhegg-fhe/src/threshold/quorum.rs	1641	3
THEATRE	assert_all_agree	dregg-dsl-differential/src/agreement.rs	197	1
THEATRE	assert_committed_shape	circuit/src/refusal.rs	200	7
THEATRE	assert_conservation_invariant	teasting/src/assertions.rs	74	7
THEATRE	assert_constitution_valid	teasting/src/assertions.rs	154	5
THEATRE	assert_directory_version_monotonicity	teasting/src/assertions.rs	225	3
UNCALLED	assert_federation_consistent	teasting/src/assertions.rs	58	0
THEATRE	assert_gc_consistency	teasting/src/assertions.rs	123	4
THEATRE	assert_matches_file	app-framework/src/webgen.rs	212	1
THEATRE	assert_no_double_spend	teasting/src/assertions.rs	198	4
THEATRE	assert_nonce_monotonicity	teasting/src/assertions.rs	103	6
UNCALLED	assert_proof_rejects	teasting/src/assertions.rs	39	0
UNCALLED	assert_proof_valid	teasting/src/assertions.rs	9	0
UNCALLED	assert_proof_verifies	teasting/src/assertions.rs	29	0
THEATRE	assert_root	storage/src/atomic.rs	118	3
UNCALLED	assert_unlinkable	teasting/src/assertions.rs	45	0
THEATRE	audit_canonical_packing_equivalence	circuit-prove/src/packed_interleaved_merkle.rs	627	2
UNCALLED	audit_fused_relation	circuit-prove/src/private_book_bfv_terminal/fused.rs	594	0
THEATRE	audit_player_text	dreggnet-offerings/src/refusal.rs	378	24
UNCALLED	audit_read_payload	starbridge-apps/agent-orchestration/src/deos.rs	235	0
UNCALLED	bake_rewind_root_verified	starbridge-v2/src/deos_desktop/rewind.rs	793	0
THEATRE	check_apex_vk_identity_pin	circuit-prove/src/apex_shrink_gnark_export.rs	218	3
THEATRE	check_compatibility	dregg-epoch/src/lib.rs	182	12
THEATRE	check_deadline	storage/src/blinded.rs	446	2
THEATRE	check_effect	cell/src/facet.rs	272	8
UNCALLED	check_head_match	circuit/src/derivation_air.rs	338	0
THEATRE	check_height_conditions	turn/src/pending.rs	1090	3
THEATRE	check_layout_against_descriptor	param-compose/src/witness.rs	740	2
THEATRE	check_permissions_for_effects	cell-crypto/src/capability_proof.rs	437	4
THEATRE	check_self_permission	android-cell/src/permgate.rs	569	8
THEATRE	check_share	fhegg-fhe/src/mpc_party/sacrifice.rs	738	1
UNCALLED	check_stealth_ownership	wasm/src/privacy.rs	161	0
UNCALLED	check_succeeds	dungeon-on-dregg/src/skills.rs	310	0
UNCALLED	check_timeout	coord/src/atomic.rs	816	0
THEATRE	check_wellformed	dregg-userspace-verify/src/lib.rs	505	5
UNCALLED	check_writeonce_slots	dregg-userspace-verify/src/app.rs	632	0
THEATRE	cwm_advance_admits	starbridge-apps/compartment-workflow-mandate/src/lib.rs	263	6
THEATRE	descriptor_air_accepts	circuit/src/lean_descriptor_air.rs	1829	7
THEATRE	enforce_custom_proof_entry_binding	turn/src/executor/proof_verify.rs	580	4
UNCALLED	ensure_extra_tables	discord-bot/src/db.rs	3420	0
UNCALLED	ensure_live	discord-bot/src/commands/offering.rs	772	0
THEATRE	ensure_same_set	fhegg-fhe/src/joint_beacon.rs	286	1
THEATRE	ensure_same_view	fhegg-fhe/src/dealerless_preprocessing.rs	413	1
THEATRE	fetch_authorized	dregg-ipfs/src/bridge.rs	151	3
THEATRE	finalize_verified	intent/src/trustless.rs	1620	1
THEATRE	is_writer_authorized	storage/src/namespace_mount.rs	128	12
THEATRE	lean_descriptor_accepts	entity-compose/src/lib.rs	387	4
THEATRE	lease_budget_admits	dregg-agent/src/budget.rs	545	7
THEATRE	lease_budget_admits	durable-workflow/src/meter.rs	151	7
THEATRE	mark_verified	node/src/routing_table.rs	103	2
THEATRE	must_accept	circuit/src/refusal.rs	512	16
THEATRE	must_panic_containing	circuit/src/refusal.rs	487	4
THEATRE	must_refuse_shape_fault	circuit/src/refusal.rs	425	3
THEATRE	new_verified	fhegg-fhe/src/threshold/quorum.rs	2029	7
THEATRE	of_verified	bridge/src/solana_trustless.rs	787	3
THEATRE	operation_routing_binding_valid	dreggnet-catalog/src/game_spine.rs	718	3
UNCALLED	reject_invite	deos-matrix/src/client.rs	849	0
UNCALLED	reject_match	intent/src/gossip.rs	586	0
THEATRE	reject_proposal	sdk/src/polis.rs	309	1
UNCALLED	require_check	dregg-doc/src/pull_request.rs	205	0
THEATRE	require_nonce	turn/src/builder.rs	535	1
THEATRE	sample_accepts	starbridge-v2/src/predicate_composer.rs	583	2
THEATRE	validate_child_vk_canonical	app-framework/src/vk.rs	135	12
THEATRE	validate_child_vk_canonical	cell/src/factory.rs	500	12
UNCALLED	validate_consensus_time_v1	blocklace/src/finality.rs	1318	0
THEATRE	validate_cross_references	blocklace/src/cross_reference.rs	217	8
THEATRE	validate_evidence_structure	app-framework/src/dispute.rs	685	4
THEATRE	validate_handoff_hybrid	captp/src/handoff.rs	1159	6
UNCALLED	validate_init_data	dreggnet-web/src/telegram_miniapp.rs	435	0
THEATRE	validate_payment	storage/src/multi_asset.rs	106	26
UNCALLED	validate_prior_note_spend_effects	dregg-sdk-net/src/faithful_spend.rs	656	0
THEATRE	validate_provenance	circuit-prove/src/faithful_note_spend_exact_v3_identity.rs	158	2
THEATRE	validate_rail	starbridge-v2/src/turn_builder.rs	504	1
THEATRE	validate_remote_entries	federation/src/solo.rs	141	3
UNCALLED	validate_ticket	dreggnet-web/src/discord_activity.rs	605	0
UNCALLED	validate_turn	sdk/src/embed.rs	347	0
UNCALLED	verify_abort	coord/src/atomic.rs	786	0
UNCALLED	verify_accumulator_non_membership	sdk/src/privacy.rs	796	0
UNCALLED	verify_against_compiled	fhir/src/qp_certificate.rs	614	0
THEATRE	verify_against_ledger	sandstorm-bridge/src/bridge.rs	372	5
THEATRE	verify_against_receipts	starbridge-apps/billing/src/invoice.rs	223	7
THEATRE	verify_aggregated_tree	turn-prover/src/aggregate_bilateral_prover.rs	926	6
THEATRE	verify_air_trace	dfa/src/air.rs	34	5
UNCALLED	verify_and_report	circuit/src/constraint_prover.rs	223	0
THEATRE	verify_anonymous	credentials/src/verification.rs	197	5
UNCALLED	verify_anonymous_presentation	sdk/src/privacy.rs	689	0
THEATRE	verify_anthropic_presentation	zkoracle-prove/src/authentic.rs	338	5
UNCALLED	verify_any_tier_presentation	app-framework/src/middleware.rs	498	0
THEATRE	verify_asset_conservation	cell-crypto/src/value_commitment.rs	875	9
THEATRE	verify_asset_equality	cell-crypto/src/value_commitment.rs	1110	13
THEATRE	verify_asset_provenance	dregg-multiway-tug/src/packs.rs	561	3
THEATRE	verify_asset_provenance	dungeon-on-dregg/src/loot.rs	542	3
THEATRE	verify_attestations	blocklace/src/addressing.rs	193	8
THEATRE	verify_attested_custody_log	starbridge-apps/supply-chain-provenance/src/derived.rs	234	5
THEATRE	verify_attested_provenance_log	starbridge-apps/agent-provenance/src/derived.rs	179	5
UNCALLED	verify_attested_root	federation/src/federation.rs	320	0
UNCALLED	verify_attested_root_with_committee	federation/src/types.rs	418	0
THEATRE	verify_authenticated_certified	dreggnet-market/src/authenticated_receipt.rs	299	10
THEATRE	verify_backend	fhegg-fhe/src/private_book_distributed_prover.rs	847	10
THEATRE	verify_base_erc20_holding	eth-lightclient/src/base.rs	418	1
THEATRE	verify_base_fault_proof_erc20_holding	eth-lightclient/src/base_fault_proof.rs	795	1
UNCALLED	verify_bearer_cap_proof_sig	wasm/src/privacy.rs	1151	0
THEATRE	verify_blake3	commit/src/typed.rs	164	8
THEATRE	verify_blake3	storage/src/commitment.rs	170	8
THEATRE	verify_bound_to_transform	circuit-prove/src/private_book_bfv_terminal.rs	382	2
THEATRE	verify_cert_qp_zk	circuit-prove/src/cert_qp_air.rs	262	3
THEATRE	verify_chained	sdk/src/beacon_cell.rs	175	4
THEATRE	verify_challenge_authenticated	storage/src/durability_deal.rs	342	11
THEATRE	verify_check_shares	fhegg-fhe/src/mpc_party/sacrifice.rs	815	6
UNCALLED	verify_chutes_tdx	tee-verify/src/tdx.rs	453	0
THEATRE	verify_collaborative_round_transition	circuit-prove/src/collaborative_basefold_mmcs.rs	444	6
THEATRE	verify_collective_certified	spween-dregg/src/collective.rs	209	4
UNCALLED	verify_committed_threshold	sdk/src/verify.rs	683	0
UNCALLED	verify_committed_threshold	wasm/src/lib.rs	1472	0
THEATRE	verify_conservation_proof	wasm/src/privacy.rs	480	2
UNCALLED	verify_coordinator_signature	turn/src/composer.rs	403	0
THEATRE	verify_cosmos_header	cosmos-lightclient/src/lib.rs	217	16
THEATRE	verify_credential_proof_locally	chain/src/credential.rs	182	1
THEATRE	verify_cross_fed_citation	turn/src/cross_fed_cite.rs	50	5
THEATRE	verify_cross_fed_receipt	teasting/src/harness.rs	956	4
UNCALLED	verify_demo_stark_proof	wasm/src/lib.rs	457	0
UNCALLED	verify_derivation_p3	circuit/src/dsl/derivation.rs	1001	0
UNCALLED	verify_devnet_history	wasm/src/bindings_lightclient.rs	326	0
UNCALLED	verify_disclosure_presentation_against_state	sdk/src/verify.rs	407	0
UNCALLED	verify_disclosure_presentation_third_party	sdk/src/verify.rs	494	0
THEATRE	verify_effect_vm_rotated_declaring	sdk/src/full_turn_proof.rs	4426	1
THEATRE	verify_erc20_holding_wide	eth-lightclient/src/evm.rs	645	2
THEATRE	verify_execution_payload	eth-lightclient/src/execution.rs	117	6
THEATRE	verify_expedition_seal	dungeon-on-dregg/src/campaign.rs	1723	1
THEATRE	verify_export	node/src/identity_export.rs	633	11
THEATRE	verify_finality_branch	eth-lightclient/src/finality.rs	174	5
UNCALLED	verify_finalized_devnet_history	wasm/src/bindings_lightclient.rs	465	0
THEATRE	verify_fulfillment	intent/src/fulfillment.rs	304	3
UNCALLED	verify_fulfillment_with_predicates	intent/src/fulfillment.rs	505	0
UNCALLED	verify_full_turn_bound_with_caveat_coverage	sdk/src/full_turn_proof.rs	5293	0
UNCALLED	verify_full_turn_bound_with_escrow_weld	sdk/src/full_turn_proof.rs	5432	0
THEATRE	verify_generation	procgen-dregg/src/lib.rs	281	8
THEATRE	verify_github_commit	zkoracle-prove/src/endpoints/github.rs	142	3
THEATRE	verify_gpu_recursion_layer	circuit-prove/src/gpu_backend.rs	5253	2
THEATRE	verify_gpu_shrink_proof	circuit-prove/src/gpu_backend.rs	4642	4
THEATRE	verify_grain_history	grain-turn/src/lib.rs	189	8
THEATRE	verify_hash	net/src/causal.rs	167	2
UNCALLED	verify_history_against_anchor	wasm/src/bindings_lightclient.rs	154	0
THEATRE	verify_image	persist/src/image_builder.rs	474	6
THEATRE	verify_index_agrees_with_log	persist/src/commit_log.rs	2257	19
THEATRE	verify_insertion_p3	circuit/src/dsl/openable_fields_insertion.rs	335	5
THEATRE	verify_integrity	circuit/src/dsl/circuit.rs	1236	1
THEATRE	verify_intent_stake	intent/src/lib.rs	300	2
UNCALLED	verify_json	wasm/src/bindings_native_descent.rs	169	0
THEATRE	verify_landed_attested	agent-platform/src/lib.rs	1163	4
THEATRE	verify_landed_tee_attested	agent-platform/src/lib.rs	1197	5
THEATRE	verify_location_sig	captp/src/ocapn/session.rs	310	11
THEATRE	verify_lock_proof_consensus_anchored_optimistic	bridge/src/solana_trustless.rs	656	1
THEATRE	verify_membership16	persist/src/poseidon2_note_tree.rs	119	4
THEATRE	verify_merkle_proof	circuit/src/native_signature.rs	369	1
THEATRE	verify_mirror_lock	intent/src/drex_routing.rs	262	5
THEATRE	verify_mirror_root	storage/src/namespace_mount.rs	226	4
THEATRE	verify_native_post_quantum_public_crossing_transcript	fhegg-fhe/src/mpc_party/transport.rs	4468	5
UNCALLED	verify_non_hiding	circuit-prove/src/dark_bazaar_private.rs	470	0
UNCALLED	verify_non_hiding	circuit-prove/src/private_preference.rs	501	0
THEATRE	verify_non_membership_proof	token/src/revocation.rs	911	8
THEATRE	verify_notary_attestation	deco-prove/src/notary.rs	153	6
THEATRE	verify_note_spending	sdk/src/privacy.rs	837	6
THEATRE	verify_nullifier_nonmembership	turn/src/executor/membership_verifier.rs	441	4
THEATRE	verify_nullifier_update_signature	dregg-doc/src/ci_verdict.rs	442	4
THEATRE	verify_odd_ntt_execution	fhegg-fhe/src/bfv_ntt_gpu.rs	843	10
THEATRE	verify_on_chain	chain/src/verify.rs	5	4
THEATRE	verify_opaque_qc	federation/src/frost.rs	203	16
THEATRE	verify_opened_link	fhegg-fhe/src/pq_share_commitment.rs	331	2
THEATRE	verify_outer_public_inputs	turn/src/faithful_note_spend_exact_v3_anchor.rs	177	5
UNCALLED	verify_parent_signature	cell-crypto/src/lib.rs	58	0
THEATRE	verify_party_opening_then_fold	circuit-prove/src/collaborative_basefold_mmcs.rs	421	13
UNCALLED	verify_peer_transition	wasm/src/bindings.rs	2104	0
THEATRE	verify_poseidon2_proof	persist/src/note_tree.rs	125	2
THEATRE	verify_presence_discharge	turn/src/presence_discharge.rs	169	10
UNCALLED	verify_presentation_complete	bridge/src/present.rs	2236	0
UNCALLED	verify_private_bfv_authority	dreggnet-market/src/fhegg_verifier_registry.rs	114	0
THEATRE	verify_private_book_bfv_native_slice_zk	fhegg-fhe/src/private_book_bfv_zk.rs	456	4
UNCALLED	verify_production	sdk/src/verify.rs	596	0
UNCALLED	verify_proof_carrying_turn_bundle_with_ledger	turn/src/executor/proof_verify.rs	2045	0
THEATRE	verify_proof_with	wire/src/server.rs	3122	5
THEATRE	verify_public_crossing_transcript	fhegg-fhe/src/mpc_party/transport.rs	4270	7
THEATRE	verify_public_output	fhegg-fhe/src/fhir/private_box.rs	352	3
THEATRE	verify_qp_optimizer_worker_result	fhir/src/optimizer_protocol.rs	595	2
THEATRE	verify_quest	dreggnet-quest/src/lib.rs	403	5
THEATRE	verify_quorum_cert	dregg-agent/src/federation_qa.rs	402	10
UNCALLED	verify_range_proof	wasm/src/privacy.rs	731	0
THEATRE	verify_receipt_chain_with_optional_keys	turn/src/verify.rs	295	23
THEATRE	verify_recorded_resend	fhegg-fhe/src/threshold/relin/transport.rs	430	3
THEATRE	verify_recursive_layer	circuit-prove/src/plonky3_recursion_impl.rs	651	1
UNCALLED	verify_recursive_replay	verifier/src/lib.rs	693	0
UNCALLED	verify_replayed_exact_fnsp_v3_frame_in	persist/src/exact_fnsp_v3_frame_head.rs	1246	0
