workload_id,lane,equations,multiplications,witnesses,max_degree,representation,evidence
constant.top,M-SPEC,1,0,0,0,single_polynomial_expression,E1 transcription
constant.top,G-FIELD-NAIVE,1,0,0,0,single_polynomial_expression,E1 transcription
constant.top,D-NOWRAP,1,0,0,2,materialized_positive_graph,E4 Lean recurrence + E2 mirror
constant.top,D-BOOLGRAPH,1,0,0,2,materialized_boolean_graph,E4 Lean recurrence + E2 mirror
constant.top,C-AIR,1,0,0,2,materialized_boolean_graph,E1 conventional baseline model
constant.bottom,M-SPEC,1,0,0,0,single_polynomial_expression,E1 transcription
constant.bottom,G-FIELD-NAIVE,1,0,0,0,single_polynomial_expression,E1 transcription
constant.bottom,D-NOWRAP,1,0,0,2,materialized_positive_graph,E4 Lean recurrence + E2 mirror
constant.bottom,D-BOOLGRAPH,1,0,0,2,materialized_boolean_graph,E4 Lean recurrence + E2 mirror
constant.bottom,C-AIR,1,0,0,2,materialized_boolean_graph,E1 conventional baseline model
not.true,M-SPEC,1,0,0,1,single_polynomial_expression,E1 transcription
not.true,G-FIELD-NAIVE,1,1,0,2,single_polynomial_expression,E1 transcription
not.true,D-NOWRAP,2,1,1,2,materialized_positive_graph,E4 Lean recurrence + E2 mirror
not.true,D-BOOLGRAPH,6,4,3,2,materialized_boolean_graph,E4 Lean recurrence + E2 mirror
not.true,C-AIR,6,4,3,2,materialized_boolean_graph,E1 conventional baseline model
not.false,M-SPEC,1,0,0,1,single_polynomial_expression,E1 transcription
not.false,G-FIELD-NAIVE,1,1,0,2,single_polynomial_expression,E1 transcription
not.false,D-NOWRAP,2,1,1,2,materialized_positive_graph,E4 Lean recurrence + E2 mirror
not.false,D-BOOLGRAPH,6,4,3,2,materialized_boolean_graph,E4 Lean recurrence + E2 mirror
not.false,C-AIR,6,4,3,2,materialized_boolean_graph,E1 conventional baseline model
gabbay.babybear-cancellation,M-SPEC,1,1,0,2,single_polynomial_expression,E1 transcription
gabbay.babybear-cancellation,G-FIELD-NAIVE,1,2,0,2,single_polynomial_expression,E1 transcription
gabbay.babybear-cancellation,D-NOWRAP,4,2,3,2,materialized_positive_graph,E4 Lean recurrence + E2 mirror
gabbay.babybear-cancellation,D-BOOLGRAPH,9,8,5,2,materialized_boolean_graph,E4 Lean recurrence + E2 mirror
gabbay.babybear-cancellation,C-AIR,2,0,0,1,optimized_conjunction_constraints,E1 conventional baseline model
bitlogic.swap.honest,M-SPEC,1,2,0,3,single_polynomial_expression,E1 transcription
bitlogic.swap.honest,G-FIELD-NAIVE,1,3,0,2,single_polynomial_expression,E1 transcription
bitlogic.swap.honest,D-NOWRAP,7,3,6,2,materialized_positive_graph,E4 Lean recurrence + E2 mirror
bitlogic.swap.honest,D-BOOLGRAPH,16,15,9,2,materialized_boolean_graph,E4 Lean recurrence + E2 mirror
bitlogic.swap.honest,C-AIR,3,0,0,1,optimized_conjunction_constraints,E1 conventional baseline model
bitlogic.swap.output-mutation,M-SPEC,1,2,0,3,single_polynomial_expression,E1 transcription
bitlogic.swap.output-mutation,G-FIELD-NAIVE,1,3,0,2,single_polynomial_expression,E1 transcription
bitlogic.swap.output-mutation,D-NOWRAP,7,3,6,2,materialized_positive_graph,E4 Lean recurrence + E2 mirror
bitlogic.swap.output-mutation,D-BOOLGRAPH,16,15,9,2,materialized_boolean_graph,E4 Lean recurrence + E2 mirror
bitlogic.swap.output-mutation,C-AIR,3,0,0,1,optimized_conjunction_constraints,E1 conventional baseline model
bitlogic.swap.invariant-mutation,M-SPEC,1,2,0,3,single_polynomial_expression,E1 transcription
bitlogic.swap.invariant-mutation,G-FIELD-NAIVE,1,3,0,2,single_polynomial_expression,E1 transcription
bitlogic.swap.invariant-mutation,D-NOWRAP,7,3,6,2,materialized_positive_graph,E4 Lean recurrence + E2 mirror
bitlogic.swap.invariant-mutation,D-BOOLGRAPH,16,15,9,2,materialized_boolean_graph,E4 Lean recurrence + E2 mirror
bitlogic.swap.invariant-mutation,C-AIR,3,0,0,1,optimized_conjunction_constraints,E1 conventional baseline model
bitlogic.swap.published-invalid-witness,M-SPEC,1,2,0,3,single_polynomial_expression,E1 transcription
bitlogic.swap.published-invalid-witness,G-FIELD-NAIVE,1,3,0,2,single_polynomial_expression,E1 transcription
bitlogic.swap.published-invalid-witness,D-NOWRAP,7,3,6,2,materialized_positive_graph,E4 Lean recurrence + E2 mirror
bitlogic.swap.published-invalid-witness,D-BOOLGRAPH,16,15,9,2,materialized_boolean_graph,E4 Lean recurrence + E2 mirror
bitlogic.swap.published-invalid-witness,C-AIR,3,0,0,1,optimized_conjunction_constraints,E1 conventional baseline model
forall.n1.all-true,M-SPEC,1,0,0,1,single_polynomial_expression,E1 transcription
forall.n1.all-true,G-FIELD-NAIVE,1,1,0,2,single_polynomial_expression,E1 transcription
forall.n1.all-true,D-NOWRAP,3,1,2,2,materialized_positive_graph,E4 Lean recurrence + E2 mirror
forall.n1.all-true,D-BOOLGRAPH,6,5,3,2,materialized_boolean_graph,E4 Lean recurrence + E2 mirror
forall.n1.all-true,C-AIR,1,0,0,1,optimized_conjunction_constraints,E1 conventional baseline model
forall.n1.one-false,M-SPEC,1,0,0,1,single_polynomial_expression,E1 transcription
forall.n1.one-false,G-FIELD-NAIVE,1,1,0,2,single_polynomial_expression,E1 transcription
forall.n1.one-false,D-NOWRAP,3,1,2,2,materialized_positive_graph,E4 Lean recurrence + E2 mirror
forall.n1.one-false,D-BOOLGRAPH,6,5,3,2,materialized_boolean_graph,E4 Lean recurrence + E2 mirror
forall.n1.one-false,C-AIR,1,0,0,1,optimized_conjunction_constraints,E1 conventional baseline model
forall.n1.all-false,M-SPEC,1,0,0,1,single_polynomial_expression,E1 transcription
forall.n1.all-false,G-FIELD-NAIVE,1,1,0,2,single_polynomial_expression,E1 transcription
forall.n1.all-false,D-NOWRAP,3,1,2,2,materialized_positive_graph,E4 Lean recurrence + E2 mirror
forall.n1.all-false,D-BOOLGRAPH,6,5,3,2,materialized_boolean_graph,E4 Lean recurrence + E2 mirror
forall.n1.all-false,C-AIR,1,0,0,1,optimized_conjunction_constraints,E1 conventional baseline model
exists.n1.one-true,M-SPEC,1,0,0,1,single_polynomial_expression,E1 transcription
exists.n1.one-true,G-FIELD-NAIVE,1,1,0,2,single_polynomial_expression,E1 transcription
exists.n1.one-true,D-NOWRAP,3,2,2,2,materialized_positive_graph,E4 Lean recurrence + E2 mirror
